Text,label
recognitiongreatmeritstheoreticalexperimentalinvestigationsconductionelectricitygases,0
recognitionworkstructurenervoussystem,1
recognitiongreatservicesrenderedinvestigationisolationelementfluorineadoptionservicescienceelectricfurnacecalled,4
recognitionworkstructurenervoussystem,1
recognitionworkroleplayedprotozoacausingdiseases,1
biochemicalresearchesdiscoverycellfreefermentation,4
considerationpowerobservationoriginalityimaginationvirilityideasremarkabletalentnarrationcharacterizecreationsworldfamousauthor,3
decisiveinfluenceuponconductoutcomeHagueGenevaConferences,2
workpresspeacemeetingspublicprivateunderstandingFranceItaly,2
opticalprecisioninstrumentsspectroscopicmetrologicalinvestigationscarriedaid,0
investigationsdisintegrationelementschemistryradioactivesubstances,4
recognitionearnestsearchtruthpenetratingpowerthoughtwiderangevisionwarmthstrengthpresentationnumerousworksvindicateddevelopedidealisticphilosophylife,3
longtimeworkcausepeacepoliticianspeacesocietyleadersoratorsauthors,2
recognitionworkimmunity,1
recognitionworkimmunity,1
longtimeworkcausepeacepoliticianspeacesocietyleadersoratorsauthors,2
methodreproducingcoloursphotographicallybasedphenomenoninterference,0
recognitioncontributionsdevelopmentwirelesstelegraphy,0
workphysiologypathologysurgerythyroidgland,1
appreciationloftyidealismvividimaginationspiritualperceptioncharacterizewritings,3
recognitionworkcatalysisinvestigationsfundamentalprinciplesgoverningchemicalequilibriaratesreaction,4
recognitioncontributionsdevelopmentwirelesstelegraphy,0
prominentpositioninternationalmovementpeacearbitration,2
prominentpositioninternationalmovementpeacearbitration,2
tributeconsummateartistrypermeatedidealismdemonstratedlongproductivecareerlyricpoetdramatistnovelistwriterworldrenownedshortstories,3
actinglinkpeacesocietiesvariouscountrieshelpingorganizeworldralliesinternationalpeacemovement,2
workequationstategasesliquids,0
recognitioncontributionsknowledgecellchemistrymadeworkproteinsincludingnucleicsubstances,1
recognitionservicesorganicchemistrychemicalindustrypioneerworkfieldalicycliccompounds,4
effortexposefightconsidersmaincausewarnamelyanarchyinternationalrelations,2
rolecofounderInstitutdedroitinternationalinitiatorConferencesInternationalPrivateLawConférencesdeDroitinternationalprivéHaguepioneerfieldinternationallegalrelations,2
recognitionextraordinaryservicesrenderedjointresearchesradiationphenomenadiscoveredProfessorHenriBecquerel,0
recognitionservicesadvancementchemistrydiscoveryelementsradiumpoloniumisolationradiumstudynaturecompoundsremarkableelement,4
discoveriesregardinglawsgoverningradiationheat,0
appreciationmanysidedliteraryactivitiesespeciallydramaticworksdistinguishedwealthimaginationpoeticfancyrevealssometimesguisefairytaledeepinspirationmysteriouswayappealreadersfeelingsstimulateimaginations,3
workdioptricseye,1
primarilyrecognitionfruitfulvariedoutstandingproductionrealmdramaticart,3
recognitionworkvascularsuturetransplantationbloodvesselsorgans,1
methodhydrogenatingorganiccompoundspresencefinelydisintegratedmetalswherebyprogressorganicchemistrygreatlyadvancedrecentyears,4
discoverysocalledGrignardreagentrecentyearsgreatlyadvancedprogressorganicchemistry,4
inventionautomaticregulatorsuseconjunctiongasaccumulatorsilluminatinglighthousesbuoys,0
bringingbetterunderstandingcountriesNorthSouthAmericainitiatingimportantarbitrationagreementsUnitedStatescountries,2
recognitionworkanaphylaxis,1
recognitionworklinkageatomsmoleculesthrownnewlightearlierinvestigationsopenednewfieldsresearchespeciallyinorganicchemistry,4
unparalleledcontributionorganizationpeacefulinternationalism,2
profoundlysensitivefreshbeautifulverseconsummateskillmadepoeticthoughtexpressedEnglishwordspartliteratureWest,3
investigationspropertiesmatterlowtemperaturesledinteraliaproductionliquidhelium,0
discoverydiffractionXrayscrystals,0
workphysiologypathologyvestibularapparatus,1
recognitionaccuratedeterminationsatomicweightlargenumberchemicalelements,4
servicesanalysiscrystalstructuremeansXrays,0
servicesanalysiscrystalstructuremeansXrays,0
researchesplantpigmentsespeciallychlorophyll,4
tributeloftyidealismliteraryproductionsympathylovetruthdescribeddifferenttypeshumanbeings,3
recognitionsignificanceleadingrepresentativeneweraliterature,3
effortstakecarewoundedsoldiersprisonerswarfamilies,2
greatworkperformedwarbehalfhumanity,2
promotingprinciplesGenevaConventioncooperationUN,2
discoverycharacteristicRoumlntgenradiationelements,0
variedrichpoetryinspiredloftyideals,3
authenticdescriptionspresentdaylifeDenmark,3
recognitionservicesrenderedadvancementPhysicsdiscoveryenergyquanta,0
synthesisammoniaelements,4
rolefounderLeagueNations,2
discoveriesrelatingimmunity,1
discoveryDopplereffectcanalrayssplittingspectrallineselectricfields,0
specialappreciationepicIOlympianSpringI,3
recognitionservicerenderedprecisionmeasurementsPhysicsdiscoveryanomaliesnickelsteelalloys,0
recognitionworkthermochemistry,4
discoverycapillarymotorregulatingmechanism,1
longstandingcontributioncausepeacejusticeprominentroleestablishmentLeagueNations,2
monumentalworkIGrowthSoilI,3
recognitionbrilliantliteraryachievementscharacterizednobilitystyleprofoundhumansympathygracetrueGallictemperament,3
lifelongcontributionscausepeaceorganizedinternationalism,2
servicesTheoreticalPhysicsespeciallydiscoverylawphotoelectriceffect,0
contributionsknowledgechemistryradioactivesubstancesinvestigationsoriginnatureisotopes,4
lifelongcontributionscausepeaceorganizedinternationalism,2
servicesinvestigationstructureatomsradiationemanating,0
leadingrolerepatriationprisonerswarinternationalreliefworkLeagueNationsHighCommissionerrefugees,2
discoverymeansmassspectrographisotopeslargenumbernonradioactiveelementsenunciationwholenumberrule,4
discoveryfixedrelationshipconsumptionoxygenmetabolismlacticacidmuscle,1
happymannercontinuedillustrioustraditionsSpanishdrama,3
discoveryrelatingproductionheatmuscle,1
discoveryinsulin,1
discoveryinsulin,1
workelementarychargeelectricityphotoelectriceffect,0
inventionmethodmicroanalysisorganicsubstances,4
alwaysinspiredpoetryhighlyartisticformgivesexpressionspiritwholenation,3
greatnationalepicIThePeasantsI,3
discoverymechanismelectrocardiogram,1
discoveriesresearchfieldXrayspectroscopy,0
discoverylawsgoverningimpactelectronuponatom,0
discoverylawsgoverningimpactelectronuponatom,0
crucialrolebringingLocarnoTreaty,2
crucialrolebringingDawesPlan,2
demonstrationheterogenousnaturecolloidsolutionsmethodsusedsincebecomefundamentalmoderncolloidchemistry,4
workmarkedidealismhumanitystimulatingsatireofteninfusedsingularpoeticbeauty,3
crucialrolebringingLocarnoTreaty,2
crucialrolebringingLocarnoTreaty,2
idealisticallyinspiredwritingsplasticclaritypicturelifenativeislanddepthsympathydealhumanproblemsgeneral,3
discoverySpiropteracarcinoma,1
workdiscontinuousstructurematterespeciallydiscoverysedimentationequilibrium,0
workdispersesystems,4
recognitionrichvitalizingideasbrilliantskillpresented,3
contributionemergenceFranceGermanypublicopinionfavourspeacefulinternationalcooperation,2
discoveryeffectnamed,0
methodmakingpathselectricallychargedparticlesvisiblecondensationvapour,0
discoverytherapeuticvaluemalariainoculationtreatmentdementiaparalytica,1
investigationsconstitutionbileacidsrelatedsubstances,4
contributionemergenceFranceGermanypublicopinionfavourspeacefulinternationalcooperation,2
worktyphus,1
servicesrenderedresearchconstitutionsterolsconnectionvitamins,4
workthermionicphenomenonespeciallydiscoverylawnamed,0
principallypowerfuldescriptionsNorthernlifeMiddleAges,3
investigationsfermentationsugarfermentativeenzymes,4
investigationsfermentationsugarfermentativeenzymes,4
discoveryantineuriticvitamin,1
discoverywavenatureelectrons,0
principallygreatnovelIBuddenbrooksIsteadilyincreasedrecognitiononeclassicworkscontemporaryliterature,3
discoverygrowthstimulatingvitamins,1
crucialrolebringingBriandKelloggPact,2
vigorousgraphicartdescriptionabilitycreatewithumournewtypescharacters,3
discoveryhumanbloodgroups,1
researchesconstitutionhaeminchlorophyllespeciallysynthesishaemin,4
promotingChristianunityhelpingcreatenewattitudemindnecessarypeacenationsbecomereality,2
workscatteringlightdiscoveryeffectnamed,0
discoverynaturemodeactionrespiratoryenzyme,1
recognitioncontributionsinventiondevelopmentchemicalhighpressuremethods,4
recognitioncontributionsinventiondevelopmentchemicalhighpressuremethods,4
poetryErikAxelKarlfeldt,3
assiduouseffortreviveidealpeacerekindlespiritpeacenationwholemankind,2
assiduouseffortreviveidealpeacerekindlespiritpeacenationwholemankind,2
discoveriesregardingfunctionsneurons,1
discoveriesregardingfunctionsneurons,1
creationquantummechanicsapplicationinteralialeddiscoveryallotropicformshydrogen,0
distinguishedartnarrationtakeshighestformITheForsyteSagaI,3
discoveriesinvestigationssurfacechemistry,4
discoverynewproductiveformsatomictheory,0
discoverynewproductiveformsatomictheory,0
exposedpenillusionwarpresentedconvincingpleainternationalcooperationpeace,2
discoveriesconcerningroleplayedchromosomeheredity,1
strictartistrycarriedclassicalRussiantraditionsprosewriting,3
discoveriesconcerninglivertherapycasesanaemia,1
discoveryheavyhydrogen,4
boldingeniousrevivaldramaticscenicart,3
discoveriesconcerninglivertherapycasesanaemia,1
discoveriesconcerninglivertherapycasesanaemia,1
untiringstrugglecourageouseffortsChairmanLeagueNationsDisarmamentConference193134,2
recognitionsynthesisnewradioactiveelements,4
recognitionsynthesisnewradioactiveelements,4
discoveryneutron,0
discoveryorganizereffectembryonicdevelopment,1
burninglovefreedomthoughtexpressionvaluablecontributioncausepeace,2
contributionsknowledgemolecularstructureinvestigationsdipolemomentsdiffractionXrayselectronsgases,4
discoveriesrelatingchemicaltransmissionnerveimpulses,1
discoverycosmicradiation,0
discoveriesrelatingchemicaltransmissionnerveimpulses,1
discoverypositron,0
rolefatherArgentineAntiwarPact1933alsousedmeansmediatepeaceParaguayBolivia1935,2
powerhonestydeepfeltemotionsdramaticworksembodyoriginalconcepttragedy,3
experimentaldiscoverydiffractionelectronscrystals,0
discoveriesconnectionbiologicalcombustionprocessesspecialreferencevitaminCcatalysisfumaricacid,1
investigationscarbohydratesvitaminC,4
experimentaldiscoverydiffractionelectronscrystals,0
tirelesseffortsupportLeagueNationsdisarmamentpeace,2
artisticpowertruthdepictedhumanconflictwellfundamentalaspectscontemporarylifenovelcycleILesThibaultI,3
investigationscarotenoidsflavinsvitaminsB2,4
demonstrationsexistencenewradioactiveelementsproducedneutronirradiationrelateddiscoverynuclearreactionsbroughtslowneutrons,0
workcarotenoidsvitamins,4
discoveryroleplayedsinusaorticmechanismsregulationrespiration,1
carriedworkFridtjofNansenbenefitrefugeesacrossEurope,2
richtrulyepicdescriptionspeasantlifeChinabiographicalmasterpieces,3
discoveryantibacterialeffectsprontosil,1
inventiondevelopmentcyclotronresultsobtainedespeciallyregardartificialradioactiveelements,0
workpolymethyleneshigherterpenes,4
worksexhormones,4
deepunderstandingcountryspeasantryexquisiteartportrayedwayliferelationshipNature,3
discoveryvitaminK,1
discoverychemicalnaturevitaminK,1
workuseisotopestracersstudychemicalprocesses,4
contributiondevelopmentmolecularraymethoddiscoverymagneticmomentproton,0
discoveriesrelatinghighlydifferentiatedfunctionssinglenervefibres,1
rarestrengthfertilitypoeticimaginationcombinedintellectualcuriositywidescopeboldfreshlycreativestyle,3
discoveriesrelatinghighlydifferentiatedfunctionssinglenervefibres,1
discoveryfissionheavynuclei,4
effortstakecarewoundedsoldiersprisonerswarfamilies,2
greatworkperformedwarbehalfhumanity,2
promotingprinciplesGenevaConventioncooperationUN,2
resonancemethodrecordingmagneticpropertiesatomicnuclei,0
discoveryExclusionPrinciplealsocalledPauliPrinciple,0
lyricpoetryinspiredpowerfulemotionsmadenamesymbolidealisticaspirationsentireLatinAmericanworld,3
researchinventionsagriculturalnutritionchemistryespeciallyfodderpreservationmethod,4
indefatigableworkinternationalunderstandingpivotalroleestablishingUnitedNations,2
discoverypenicillincurativeeffectvariousinfectiousdiseases,1
discoverypenicillincurativeeffectvariousinfectiousdiseases,1
discoverypenicillincurativeeffectvariousinfectiousdiseases,1
contributioncreationpeacepromotingreligiousbrotherhoodacrossnationalboundaries,2
inventionapparatusproduceextremelyhighpressuresdiscoveriesmadetherewithfieldhighpressurephysics,0
discoveryenzymescrystallized,4
preparationenzymesvirusproteinspureform,4
preparationenzymesvirusproteinspureform,4
discoveryproductionmutationsmeansXrayirradiation,1
lifelongworkcausepeace,2
inspiredwritingsgrowingboldnesspenetrationexemplifyclassicalhumanitarianidealshighqualitiesstyle,3
discoverycoursecatalyticconversionglycogen,1
discoverypartplayedhormoneanteriorpituitarylobemetabolismsugar,1
investigationsphysicsupperatmosphereespeciallydiscoverysocalledAppletonlayer,0
comprehensiveartisticallysignificantwritingshumanproblemsconditionspresentedfearlesslovetruthkeenpsychologicalinsight,3
investigationsplantproductsbiologicalimportanceespeciallyalkaloids,4
pioneeringworkinternationalpeacemovementcompassionateeffortrelievehumansufferingtherebypromotingfraternitynations,2
pioneeringworkinternationalpeacemovementcompassionateeffortrelievehumansufferingtherebypromotingfraternitynations,2
discoverycoursecatalyticconversionglycogen,1
discoveryhighefficiencyDDTcontactpoisonseveralarthropods,1
outstandingpioneercontributionpresentdaypoetry,3
researchelectrophoresisadsorptionanalysisespeciallydiscoveriesconcerningcomplexnatureserumproteins,4
developmentWilsoncloudchambermethoddiscoveriestherewithfieldsnuclearphysicscosmicradiation,0
discoverytherapeuticvalueleucotomycertainpsychoses,1
contributionsfieldchemicalthermodynamicsparticularlyconcerningbehavioursubstancesextremelylowtemperatures,4
discoveryfunctionalorganizationinterbraincoordinatoractivitiesinternalorgans,1
powerfulartisticallyuniquecontributionmodernAmericannovel,3
lifelongeffortconquerhungerwanttherebyhelpingremovemajorcausemilitaryconflictwar,2
predictionexistencemesonsbasistheoreticalworknuclearforces,0
recognitionvariedsignificantwritingschampionshumanitarianidealsfreedomthought,3
workmediatorPalestine19481949,2
discoveriesrelatinghormonesadrenalcortexstructurebiologicaleffects,1
discoveriesrelatinghormonesadrenalcortexstructurebiologicaleffects,1
discoveriesrelatinghormonesadrenalcortexstructurebiologicaleffects,1
discoverydevelopmentdienesynthesis,4
developmentphotographicmethodstudyingnuclearprocessesdiscoveriesregardingmesonsmademethod,0
discoverydevelopmentdienesynthesis,4
devotedlifefightwarpromotionsocialjusticebrotherhoodamongmennations,2
artisticvigourtrueindependencemindendeavourspoetryfindanswerseternalquestionsconfrontingmankind,3
pioneerworktransmutationatomicnucleiartificiallyacceleratedatomicparticles,0
pioneerworktransmutationatomicnucleiartificiallyacceleratedatomicparticles,0
discoverieschemistrytransuraniumelements,4
discoveriesconcerningyellowfevercombat,1
discoverieschemistrytransuraniumelements,4
developmentnewmethodsnuclearmagneticprecisionmeasurementsdiscoveriesconnectiontherewith,0
inventionpartitionchromatography,4
altruismreverencelifetirelesshumanitarianworkhelpedmakingideabrotherhoodmennationslivingone,2
discoverystreptomycinfirstantibioticeffectivetuberculosis,1
inventionpartitionchromatography,4
developmentnewmethodsnuclearmagneticprecisionmeasurementsdiscoveriesconnectiontherewith,0
deepspiritualinsightartisticintensitynovelspenetrateddramahumanlife,3
proposingsupervisingplaneconomicrecoveryEurope,2
discoverycitricacidcycle,1
discoverycoenzymeimportanceintermediarymetabolism,1
demonstrationphasecontrastmethodespeciallyinventionphasecontrastmicroscope,0
discoveriesfieldmacromolecularchemistry,4
masteryhistoricalbiographicaldescriptionwellbrilliantoratorydefendingexaltedhumanvalues,3
discoveryabilitypoliomyelitisvirusesgrowculturesvarioustypestissue,1
discoveryabilitypoliomyelitisvirusesgrowculturesvarioustypestissue,1
discoveryabilitypoliomyelitisvirusesgrowculturesvarioustypestissue,1
researchnaturechemicalbondapplicationelucidationstructurecomplexsubstances,4
fightnucleararmsraceEastWest,2
fundamentalresearchquantummechanicsespeciallystatisticalinterpretationwavefunction,0
coincidencemethoddiscoveriesmadetherewith,0
masteryartnarrativerecentlydemonstratedITheOldManSeaIinfluenceexertedcontemporarystyle,3
effortshealwoundswarprovidinghelpprotectionrefugeesworld,2
promotingfundamentalrightsrefugees,2
vividepicpowerrenewedgreatnarrativeartIceland,3
precisiondeterminationmagneticmomentelectron,0
discoveriesconcerningfinestructurehydrogenspectrum,0
discoveriesconcerningnaturemodeactionoxidationenzymes,1
workbiochemicallyimportantsulphurcompoundsespeciallyfirstsynthesispolypeptidehormone,4
discoveriesconcerningheartcatheterizationpathologicalchangescirculatorysystem,1
discoveriesconcerningheartcatheterizationpathologicalchangescirculatorysystem,1
researchessemiconductorsdiscoverytransistoreffect,0
researchesmechanismchemicalreactions,4
researchesmechanismchemicalreactions,4
researchessemiconductorsdiscoverytransistoreffect,0
jointlydevelopedtheorysuperconductivityusuallycalledBCStheory,0
researchessemiconductorsdiscoverytransistoreffect,0
discoveriesconcerningheartcatheterizationpathologicalchangescirculatorysystem,1
lyricalpoetrySpanishlanguageconstitutesexamplehighspiritartisticalpurity,3
penetratinginvestigationsocalledparitylawsledimportantdiscoveriesregardingelementaryparticles,0
crucialcontributiondeploymentUnitedNationsEmergencyForcewakeSuezCrisis,2
worknucleotidesnucleotidecoenzymes,4
penetratinginvestigationsocalledparitylawsledimportantdiscoveriesregardingelementaryparticles,0
importantliteraryproductionclearsightedearnestnessilluminatesproblemshumanconsciencetimes,3
discoveriesrelatingsyntheticcompoundsinhibitactioncertainbodysubstancesespeciallyactionvascularsystemskeletalmuscles,1
workstructureproteinsespeciallyinsulin,4
contributionsconcerningdeterminationbasesequencesnucleicacids,4
effortshelprefugeesleavecampsreturnlifefreedomdignity,2
discoverygenesactregulatingdefinitechemicalevents,1
discoveriesconcerninggeneticrecombinationorganizationgeneticmaterialbacteria,1
importantachievementcontemporarylyricalpoetryfieldgreatRussianepictradition,3
discoveryinterpretationCherenkoveffect,0
discoveryinterpretationCherenkoveffect,0
discoveryinterpretationCherenkoveffect,0
discoverygenesactregulatingdefinitechemicalevents,1
discoverymechanismsbiologicalsynthesisribonucleicaciddeoxyribonucleicacid,1
discoverydevelopmentpolarographicmethodsanalysis,4
discoveryantiproton,0
discoveryantiproton,0
discoverymechanismsbiologicalsynthesisribonucleicaciddeoxyribonucleicacid,1
longstandingcontributioncausedisarmamentpeace,2
lyricalpoetryclassicalfireexpressestragicexperiencelifetimes,3
discoveryacquiredimmunologicaltolerance,1
inventionbubblechamber,0
discoveryacquiredimmunologicaltolerance,1
soaringflightevocativeimagerypoetryvisionaryfashionreflectsconditionstime,3
nonviolentstruggleapartheid,2
methodusecarbon14agedeterminationarchaeologygeologygeophysicsbranchesscience,4
researchesconcerningresonanceabsorptiongammaradiationdiscoveryconnectioneffectbearsname,0
developingUNeffectiveconstructiveinternationalorganizationcapablegivinglifeprinciplesaimsexpressedUNCharter,2
discoveriesphysicalmechanismstimulationwithincochlea,1
epicforcetracedthemesdepictedhumandestiniesdrawnhistorycountry,3
researchcarbondioxideassimilationplants,4
pioneeringstudieselectronscatteringatomicnucleitherebyachieveddiscoveriesconcerningstructurenucleons,0
discoveriesconcerningmolecularstructurenucleicacidssignificanceinformationtransferlivingmaterial,1
discoveriesconcerningmolecularstructurenucleicacidssignificanceinformationtransferlivingmaterial,1
discoveriesconcerningmolecularstructurenucleicacidssignificanceinformationtransferlivingmaterial,1
researchnaturechemicalbondapplicationelucidationstructurecomplexsubstances,4
fightnucleararmsraceEastWest,2
studiesstructuresglobularproteins,4
studiesstructuresglobularproteins,4
pioneeringtheoriescondensedmatterespeciallyliquidhelium,0
realisticimaginativewritingscombiningsympathetichumourkeensocialperception,3
discoveriesconcerningionicmechanismsinvolvedexcitationinhibitionperipheralcentralportionsnervecellmembrane,1
discoveriesconcerningionicmechanismsinvolvedexcitationinhibitionperipheralcentralportionsnervecellmembrane,1
discoveriesconcerningionicmechanismsinvolvedexcitationinhibitionperipheralcentralportionsnervecellmembrane,1
discoveriesconcerningnuclearshellstructure,0
contributionstheoryatomicnucleuselementaryparticlesparticularlydiscoveryapplicationfundamentalsymmetryprinciples,0
effortstakecarewoundedsoldiersprisonerswarfamilies,2
greatworkperformedwarbehalfhumanity,2
promotingprinciplesGenevaConventioncooperationUN,2
promotingprinciplesGenevaConventioncooperationUN,2
eminentlyricalwritinginspireddeepfeelingHellenicworldculture,3
discoveriesconcerningnuclearshellstructure,0
discoveriesfieldchemistrytechnologyhighpolymers,4
discoveriesfieldchemistrytechnologyhighpolymers,4
fundamentalworkfieldquantumelectronicsledconstructionoscillatorsamplifiersbasedmaserlaserprinciple,0
workrichideasfilledspiritfreedomquesttruthexertedfarreachinginfluenceage,3
nonviolentstrugglecivilrightsAfroAmericanpopulation,2
fundamentalworkfieldquantumelectronicsledconstructionoscillatorsamplifiersbasedmaserlaserprinciple,0
discoveriesconcerningmechanismregulationcholesterolfattyacidmetabolism,1
fundamentalworkfieldquantumelectronicsledconstructionoscillatorsamplifiersbasedmaserlaserprinciple,0
discoveriesconcerningmechanismregulationcholesterolfattyacidmetabolism,1
determinationsXraytechniquesstructuresimportantbiochemicalsubstances,4
outstandingachievementsartorganicsynthesis,4
discoveriesconcerninggeneticcontrolenzymevirussynthesis,1
discoveriesconcerninggeneticcontrolenzymevirussynthesis,1
discoveriesconcerninggeneticcontrolenzymevirussynthesis,1
effortenhancesolidaritynationsreducedifferencerichpoorstates,2
fundamentalworkquantumelectrodynamicsdeepploughingconsequencesphysicselementaryparticles,0
artisticpowerintegrityepicgivenexpressionhistoricphaselifeRussianpeople,3
fundamentalworkquantumelectrodynamicsdeepploughingconsequencesphysicselementaryparticles,0
fundamentalworkquantumelectrodynamicsdeepploughingconsequencesphysicselementaryparticles,0
discoveriesconcerninghormonaltreatmentprostaticcancer,1
profoundlycharacteristicnarrativeartmotifslifeJewishpeople,3
fundamentalworkconcerningchemicalbondselectronicstructuremoleculesmolecularorbitalmethod,4
discoverytumourinducingviruses,1
outstandinglyricaldramaticwritinginterpretsIsraelsdestinytouchingstrength,3
discoverydevelopmentopticalmethodsstudyingHertzianresonancesatoms,0
discoveriesconcerningprimaryphysiologicalchemicalvisualprocesseseye,1
discoveriesconcerningprimaryphysiologicalchemicalvisualprocesseseye,1
studiesextremelyfastchemicalreactionseffecteddisturbingequilibriummeansshortpulsesenergy,4
vividliteraryachievementdeeprootednationaltraitstraditionsIndianpeoplesLatinAmerica,3
studiesextremelyfastchemicalreactionseffecteddisturbingequilibriummeansshortpulsesenergy,4
studiesextremelyfastchemicalreactionseffecteddisturbingequilibriummeansshortpulsesenergy,4
discoveriesconcerningprimaryphysiologicalchemicalvisualprocesseseye,1
contributionstheorynuclearreactionsespeciallydiscoveriesconcerningenergyproductionstars,0
interpretationgeneticcodefunctionproteinsynthesis,1
interpretationgeneticcodefunctionproteinsynthesis,1
discoveryreciprocalrelationsbearingnamefundamentalthermodynamicsirreversibleprocesses,4
struggleensurerightsmanstipulatedUNDeclaration,2
interpretationgeneticcodefunctionproteinsynthesis,1
decisivecontributionselementaryparticlephysicsparticulardiscoverylargenumberresonancestatesmadepossibledevelopmenttechniqueusinghydrogenbubblechamberdataanalysis,0
narrativemasterygreatsensibilityexpressesessenceJapanesemind,3
contributionsdevelopmentconceptconformationapplicationchemistry,4
writingnewformsnoveldramadestitutionmodernmanacquireselevation,3
developedapplieddynamicmodelsanalysiseconomicprocesses,5
contributionsdiscoveriesconcerningclassificationelementaryparticlesinteractions,0
developedapplieddynamicmodelsanalysiseconomicprocesses,5
creatinginternationallegislationinsuringcertainnormsworkingconditionseverycountry,2
discoveriesconcerningreplicationmechanismgeneticstructureviruses,1
discoveriesconcerningreplicationmechanismgeneticstructureviruses,1
discoveriesconcerningreplicationmechanismgeneticstructureviruses,1
contributionsdevelopmentconceptconformationapplicationchemistry,4
fundamentalworkdiscoveriesmagnetohydrodynamicsfruitfulapplicationsdifferentpartsplasmaphysics,0
fundamentalworkdiscoveriesconcerningantiferromagnetismferrimagnetismledimportantapplicationssolidstatephysics,0
givenwellfoundedhopegreenrevolution,2
discoverysugarnucleotidesrolebiosynthesiscarbohydrates,4
ethicalforcepursuedindispensabletraditionsRussianliterature,3
scientificworkdevelopedstaticdynamiceconomictheoryactivelycontributedraisinglevelanalysiseconomicscience,5
discoveriesconcerninghumoraltransmittersnerveterminalsmechanismstoragereleaseinactivation,1
discoveriesconcerninghumoraltransmittersnerveterminalsmechanismstoragereleaseinactivation,1
discoveriesconcerninghumoraltransmittersnerveterminalsmechanismstoragereleaseinactivation,1
pavingwaymeaningfuldialogueEastWest,2
inventiondevelopmentholographicmethod,0
empiricallyfoundedinterpretationeconomicgrowthlednewdeepenedinsighteconomicsocialstructureprocessdevelopment,5
contributionsknowledgeelectronicstructuregeometrymoleculesparticularlyfreeradicals,4
discoveriesconcerningmechanismsactionhormones,1
poetryactionelementalforcebringsalivecontinentsdestinydreams,3
writingcombinationbroadperspectivetimesensitiveskillcharacterizationcontributedrenewalGermanliterature,3
discoveriesconcerningchemicalstructureantibodies,1
jointlydevelopedtheorysuperconductivityusuallycalledBCStheory,0
contributionunderstandingconnectionchemicalstructurecatalyticactivityactivecentreribonucleasemolecule,4
workribonucleaseespeciallyconcerningconnectionaminoacidsequencebiologicallyactiveconformation,4
contributionunderstandingconnectionchemicalstructurecatalyticactivityactivecentreribonucleasemolecule,4
researchessemiconductorsdiscoverytransistoreffect,0
jointlydevelopedtheorysuperconductivityusuallycalledBCStheory,0
pioneeringcontributionsgeneraleconomicequilibriumtheorywelfaretheory,5
pioneeringcontributionsgeneraleconomicequilibriumtheorywelfaretheory,5
